"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.11.2022","95,87","97,34","99,55","91,73","278,53K","-2,74%"
"30.10.2022","98,57","96,47","98,81","92,33","1,05M","2,92%"
"23.10.2022","95,77","93,59","97,27","91,22","657,23K","2,43%"
"16.10.2022","93,50","91,71","94,77","88,77","1,24M","2,04%"
"09.10.2022","91,63","98,75","98,75","91,08","1,22M","-6,42%"
"02.10.2022","97,92","86,35","98,58","86,35","1,33M","11,32%"
"25.09.2022","87,96","86,62","90,12","83,65","361,78K","2,10%"
"18.09.2022","86,15","91,43","93,50","85,50","894,41K","-5,69%"
"11.09.2022","91,35","92,54","95,80","90,03","1,20M","-1,60%"
"04.09.2022","92,84","93,02","96,99","87,24","1,08M","-0,19%"
"28.08.2022","93,02","100,67","105,48","91,81","630,48K","-7,89%"
"21.08.2022","100,99","95,95","102,47","92,36","894,13K","4,41%"
"14.08.2022","96,72","97,72","98,17","91,51","1,02M","-1,46%"
"07.08.2022","98,15","94,51","100,38","93,01","1,08M","3,40%"
"31.07.2022","94,92","103,92","104,43","92,78","1,28M","-13,72%"
"24.07.2022","110,01","103,85","110,67","101,64","401,33K","6,60%"
"17.07.2022","103,20","100,82","107,61","99,46","992,54K","2,02%"
"10.07.2022","101,16","107,00","107,70","94,50","1,25M","-5,48%"
"03.07.2022","107,02","111,65","114,75","98,50","1,40M","-4,13%"
"26.06.2022","111,63","112,92","120,41","108,03","480,74K","-1,32%"
"19.06.2022","113,12","113,88","116,25","107,03","988,78K","0,00%"
"12.06.2022","113,12","121,94","125,19","111,72","1,38M","-7,29%"
"05.06.2022","122,01","121,55","124,40","118,55","1,25M","1,91%"
"29.05.2022","119,72","119,28","125,28","112,45","654,69K","0,24%"
"22.05.2022","119,43","112,85","119,72","111,70","745,30K","6,11%"
"15.05.2022","112,55","111,67","115,69","105,70","1,19M","0,90%"
"08.05.2022","111,55","112,94","113,20","101,30","1,40M","-0,75%"
"01.05.2022","112,39","106,30","114,00","103,10","1,11M","2,79%"
"24.04.2022","109,34","105,49","110,30","99,48","446,95K","2,52%"
"17.04.2022","106,65","112,32","114,84","104,65","926,98K","-4,52%"
"10.04.2022","111,70","103,21","112,39","97,57","970,07K","8,68%"
"03.04.2022","102,78","104,08","109,90","98,41","1,22M","-1,54%"
"27.03.2022","104,39","119,90","119,90","102,35","564,13K","-13,48%"
"20.03.2022","120,65","107,50","123,74","107,06","936,80K","11,79%"
"13.03.2022","107,93","113,15","113,15","96,93","1,20M","-4,21%"
"06.03.2022","112,67","122,79","139,13","105,60","2,05M","-4,61%"
"27.02.2022","118,11","101,98","119,84","98,30","1,79M","20,61%"
"20.02.2022","97,93","94,29","105,79","92,57","1,01M","4,69%"
"13.02.2022","93,54","95,20","96,78","90,12","1,84M","-0,95%"
"06.02.2022","94,44","92,75","95,66","89,93","1,80M","1,25%"
"30.01.2022","93,27","90,80","93,70","87,72","1,23M","3,60%"
"23.01.2022","90,03","87,93","91,70","85,04","1,06M","2,43%"
"16.01.2022","87,89","86,15","89,50","85,54","1,42M","2,13%"
"09.01.2022","86,06","81,76","86,50","80,50","1,50M","5,27%"
"02.01.2022","81,75","78,11","83,00","77,04","1,46M","5,10%"
"26.12.2021","77,78","76,32","80,17","75,75","365,28K","2,15%"
"19.12.2021","76,14","72,82","77,00","69,28","906,32K","3,56%"
"12.12.2021","73,52","75,37","76,39","72,50","1,23M","-2,17%"
"05.12.2021","75,15","70,24","76,70","70,24","1,39M","7,54%"
"28.11.2021","69,88","73,88","77,02","65,72","1,43M","-3,91%"
"21.11.2021","72,72","78,58","83,00","72,14","1,20M","-7,82%"
"14.11.2021","78,89","81,92","83,14","78,05","1,81M","-3,99%"
"07.11.2021","82,17","82,58","85,50","81,26","1,61M","-0,69%"
"31.10.2021","82,74","83,63","85,23","80,20","1,85M","-1,94%"
"24.10.2021","84,38","85,65","86,70","82,32","807,77K","-1,34%"
